firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,,FIRST 4 NUMBERS,,globe:,
name79,lastname79,December,23,2000,Legal Management,0927 668 6229,,0927,,,
name80,lastname80,August,10,1999,Communications Technology,0927 229 9686,,0927,,,
name81,lastname81,February,1,1997,Communications Technology,0918 873 6019,,0918,,,
name82,lastname82,November,22,1997,Communications Technology,0918 376 7811,,0918,,,
name83,lastname83,June,18,2000,Management Engineering,0927 118 4679,,0927,,,
name84,lastname84,February,28,1999,Information Technology Entrepreneurship,0917 236 2591,,0917,,,
name85,lastname85,January,10,1999,Legal Management,0927 128 1225,,0927,,,
name86,lastname86,November,21,1998,Management,0918 587 6655,,0918,,,
name87,lastname87,August,15,1998,Information Technology Entrepreneurship,0918 945 8163,,0918,,,
name88,lastname88,January,26,1997,Management Engineering,0917 908 6005,,0917,,,
name89,lastname89,March,26,1998,Information Technology Entrepreneurship,0917 367 9784,,0917,,,
name90,lastname90,March,15,1999,Information Technology Entrepreneurship,0918 501 6913,,0918,,,
name91,lastname91,August,16,1997,Information Technology Entrepreneurship,0918 823 1926,,0918,,,
name92,lastname92,December,8,1997,Management Engineering,0917 449 1492,,0917,,,
name93,lastname93,June,14,1998,Information Technology Entrepreneurship,0927 196 1085,,0927,,,
name94,lastname94,November,24,1997,Legal Management,0918 768 1582,,0918,,,
name95,lastname95,September,6,2001,Communications Technology,0927 111 9326,,0927,,,
name96,lastname96,March,16,1999,Communications Technology,0917 699 1883,,0917,,,
name97,lastname97,January,19,1997,Management,0918 149 1873,,0918,,,
name98,lastname98,January,10,1998,Information Technology Entrepreneurship,0927 615 1107,,0927,,,
name99,lastname99,May,12,1998,Communications Technology,0927 440 8773,,0927,,,
name100,lastname100,May,10,1999,Management,0927 787 2993,,0927,,,
name101,lastname101,April,2,1997,Communications Technology,0927 952 3919,,0927,,,
name102,lastname102,August,14,2001,Legal Management,0918 454 7163,,0918,,,
name103,lastname103,December,16,2000,Management Engineering,0927 148 8884,,0927,,,
name104,lastname104,July,16,2001,Communications Technology,0918 852 3413,,0918,,,
name105,lastname105,March,5,1999,Information Technology Entrepreneurship,0917 502 7912,,0917,,,
name106,lastname106,August,25,1997,Communications Technology,0927 510 1038,,0927,,,
name107,lastname107,April,21,2001,Management,0927 958 1514,,0927,,,
name108,lastname108,May,14,1999,Management,0918 797 4867,,0918,,,
name109,lastname109,August,15,1998,Management Engineering,0917 615 3478,,0917,,,
name110,lastname110,January,8,1999,Management Engineering,0918 661 5521,,0918,,,
name111,lastname111,December,22,2001,Management Engineering,0918 401 1101,,0918,,,
name112,lastname112,May,19,1997,Management,0918 469 9048,,0918,,,
name113,lastname113,May,27,1997,Information Technology Entrepreneurship,0917 389 5698,,0917,,,
name114,lastname114,August,22,1999,Communications Technology,0917 946 6274,,0917,,,
name115,lastname115,March,26,1998,Information Technology Entrepreneurship,0917 236 8755,,0917,,,
name116,lastname116,July,19,1997,Information Technology Entrepreneurship,0918 269 1384,,0918,,,
name117,lastname117,January,11,1997,Legal Management,0918 953 2016,,0918,,,
name118,lastname118,February,4,1999,Management Engineering,0918 752 1689,,0918,,,
name119,lastname119,December,27,1997,Legal Management,0927 259 3515,,0927,,,
name120,lastname120,February,3,1997,Legal Management,0918 732 2042,,0918,,,
name121,lastname121,March,5,2000,Legal Management,0918 137 1929,,0918,,,
name122,lastname122,March,1,2001,Legal Management,0917 898 5495,,0917,,,
name123,lastname123,April,23,1999,Legal Management,0918 479 2283,,0918,,,
name124,lastname124,February,2,1999,Management,0917 428 8800,,0917,,,
name125,lastname125,November,24,1998,Legal Management,0917 641 8280,,0917,,,
name126,lastname126,June,4,2000,Legal Management,0927 272 9008,,0927,,,
name127,lastname127,March,3,2000,Legal Management,0917 218 3720,,0917,,,
name128,lastname128,June,20,1998,Legal Management,0918 872 3714,,0918,,,
name129,lastname129,October,25,1998,Management Engineering,0927 399 5328,,0927,,,
name130,lastname130,July,18,2000,Management,0927 384 8421,,0927,,,
name131,lastname131,February,23,1999,Communications Technology,0927 278 9317,,0927,,,
name132,lastname132,September,10,1999,Legal Management,0927 450 3540,,0927,,,
name133,lastname133,April,18,1999,Communications Technology,0927 150 7228,,0927,,,
name134,lastname134,May,7,2000,Management,0918 995 5243,,0918,,,
name135,lastname135,October,3,1999,Communications Technology,0927 949 9628,,0927,,,
name136,lastname136,October,5,2000,Management,0927 558 1218,,0927,,,
name137,lastname137,June,5,1998,Management Engineering,0918 191 7948,,0918,,,
name138,lastname138,February,5,1997,Information Technology Entrepreneurship,0918 636 6121,,0918,,,
name139,lastname139,April,8,1999,Information Technology Entrepreneurship,0918 532 3276,,0918,,,
name140,lastname140,September,2,1999,Management Engineering,0927 795 1469,,0927,,,
name141,lastname141,June,8,1998,Legal Management,0927 430 8948,,0927,,,
name142,lastname142,December,3,1999,Legal Management,0918 659 4663,,0918,,,
name143,lastname143,November,15,1999,Management Engineering,0927 716 8308,,0927,,,
name144,lastname144,October,14,1998,Management Engineering,0917 855 4111,,0917,,,
name145,lastname145,February,9,2001,Management,0918 256 2335,,0918,,,
name146,lastname146,September,11,1998,Management,0927 248 8520,,0927,,,
name147,lastname147,December,6,1999,Legal Management,0917 856 9506,,0917,,,
name148,lastname148,November,13,2000,Legal Management,0927 989 2750,,0927,,,
name149,lastname149,September,18,1997,Management,0927 124 4294,,0927,,,
name150,lastname150,August,5,1997,Management Engineering,0918 162 5544,,0918,,,
name151,lastname151,May,17,1998,Legal Management,0918 469 2092,,0918,,,
name152,lastname152,March,15,1999,Legal Management,0927 145 1261,,0927,,,
name153,lastname153,November,2,1999,Management Engineering,0927 415 2246,,0927,,,
name154,lastname154,August,2,1999,Management,0918 331 9863,,0918,,,
name155,lastname155,December,14,1999,Legal Management,0918 649 2584,,0918,,,
name156,lastname156,April,3,1998,Management,0918 146 7027,,0918,,,
name157,lastname157,August,13,1997,Management Engineering,0927 475 9634,,0927,,,
name158,lastname158,January,28,1999,Legal Management,0927 594 6138,,0927,,,
name159,lastname159,October,12,1998,Management,0927 653 5975,,0927,,,
name160,lastname160,December,25,2000,Communications Technology,0917 137 6557,,0917,,,
name161,lastname161,January,1,2000,Communications Technology,0917 289 3619,,0917,,,
name162,lastname162,January,26,2000,Communications Technology,0917 388 6944,,0917,,,
name163,lastname163,April,17,1999,Information Technology Entrepreneurship,0917 307 3272,,0917,,,
name164,lastname164,May,25,1997,Information Technology Entrepreneurship,0917 925 9571,,0917,,,
name165,lastname165,August,12,1998,Management,0918 281 2519,,0918,,,
name166,lastname166,February,16,1999,Management Engineering,0918 536 9523,,0918,,,
name167,lastname167,April,4,2000,Management,0918 705 3266,,0918,,,
name168,lastname168,July,5,1997,Management Engineering,0927 511 1039,,0927,,,
name169,lastname169,April,13,1998,Management Engineering,0918 284 3059,,0918,,,
name170,lastname170,June,9,2000,Information Technology Entrepreneurship,0927 797 7430,,0927,,,
name171,lastname171,August,17,1997,Legal Management,0918 227 4954,,0918,,,
name172,lastname172,September,24,2000,Communications Technology,0917 308 1448,,0917,,,
name173,lastname173,August,13,1998,Management Engineering,0917 180 6600,,0917,,,
name174,lastname174,October,19,1998,Management Engineering,0927 185 5392,,0927,,,
name175,lastname175,June,1,1999,Management Engineering,0917 492 1000,,0917,,,
name176,lastname176,June,9,1999,Information Technology Entrepreneurship,0927 787 2528,,0927,,,
name177,lastname177,July,1,2001,Management Engineering,0927 614 7614,,0927,,,
name178,lastname178,June,12,2001,Information Technology Entrepreneurship,0917 735 9355,,0917,,,
name179,lastname179,May,4,1998,Legal Management,0927 728 7081,,0927,,,
name180,lastname180,March,22,1999,Information Technology Entrepreneurship,0917 257 4982,,0917,,,
name181,lastname181,March,27,1999,Management Engineering,0917 744 6240,,0917,,,
name182,lastname182,June,2,1998,Communications Technology,0917 502 7471,,0917,,,
name183,lastname183,June,17,1997,Management,0918 582 2278,,0918,,,
name184,lastname184,December,23,1998,Information Technology Entrepreneurship,0927 891 4782,,0927,,,
name185,lastname185,April,18,1997,Management Engineering,0917 248 5615,,0917,,,
name186,lastname186,November,19,1997,Management Engineering,0918 859 3958,,0918,,,
name187,lastname187,April,18,2001,Legal Management,0917 575 5267,,0917,,,
name188,lastname188,September,2,1997,Management Engineering,0918 621 4437,,0918,,,
name189,lastname189,December,7,2000,Management,0918 447 8973,,0918,,,
name190,lastname190,July,6,1997,Management,0918 409 2087,,0918,,,
name191,lastname191,May,7,1999,Legal Management,0918 742 1522,,0918,,,
name192,lastname192,July,9,1999,Information Technology Entrepreneurship,0917 222 5936,,0917,,,
name193,lastname193,May,25,1997,Management Engineering,0918 730 6896,,0918,,,
name194,lastname194,September,2,1998,Legal Management,0917 399 8033,,0917,,,
name195,lastname195,July,15,2001,Management Engineering,0917 818 9641,,0917,,,
name196,lastname196,May,6,2001,Management Engineering,0927 486 8768,,0927,,,
name197,lastname197,October,24,2001,Management Engineering,0918 708 8549,,0918,,,
name198,lastname198,June,15,1997,Legal Management,0927 642 6498,,0927,,,
name199,lastname199,January,4,1999,Communications Technology,0927 536 3811,,0927,,,
name200,lastname200,November,13,1998,Management,0918 621 7426,,0918,,,
name201,lastname201,October,27,1997,Management,0917 681 9326,,0917,,,
name202,lastname202,April,15,2000,Management,0918 341 5085,,0918,,,
name203,lastname203,March,25,1998,Management Engineering,0918 419 5644,,0918,,,
name204,lastname204,November,4,1997,Information Technology Entrepreneurship,0927 383 5918,,0927,,,
name205,lastname205,March,12,2000,Management,0917 173 4981,,0917,,,
name206,lastname206,December,19,1997,Management Engineering,0917 309 4697,,0917,,,
name207,lastname207,November,27,2000,Information Technology Entrepreneurship,0918 744 5680,,0918,,,
name208,lastname208,October,20,1999,Communications Technology,0918 314 3702,,0918,,,
name209,lastname209,March,16,1999,Communications Technology,0917 764 8372,,0917,,,
name210,lastname210,April,2,1998,Information Technology Entrepreneurship,0927 750 7712,,0927,,,
name211,lastname211,January,26,1999,Management,0927 744 7095,,0927,,,
name212,lastname212,November,2,1999,Management,0917 600 5892,,0917,,,
name213,lastname213,August,23,1999,Management,0918 482 4436,,0918,,,
name214,lastname214,June,8,1999,Communications Technology,0917 229 1656,,0917,,,
name215,lastname215,November,1,1998,Communications Technology,0917 129 7511,,0917,,,
name216,lastname216,October,23,1999,Legal Management,0927 931 6222,,0927,,,
name217,lastname217,May,2,1998,Management Engineering,0917 510 8517,,0917,,,
name218,lastname218,April,19,2001,Communications Technology,0927 859 9615,,0927,,,
name219,lastname219,May,28,1997,Information Technology Entrepreneurship,0918 883 3812,,0918,,,
name220,lastname220,March,25,2001,Management,0927 855 3696,,0927,,,
name221,lastname221,July,12,2001,Management Engineering,0917 869 1592,,0917,,,
name222,lastname222,September,5,1999,Legal Management,0927 390 2398,,0927,,,
name223,lastname223,February,9,1997,Management,0918 250 3159,,0918,,,
name224,lastname224,December,18,2001,Management,0917 914 1992,,0917,,,
name225,lastname225,February,27,1998,Management Engineering,0917 168 1549,,0917,,,
name226,lastname226,March,12,1997,Legal Management,0918 812 9824,,0918,,,
name227,lastname227,October,8,1997,Management,0918 676 3675,,0918,,,
name228,lastname228,November,16,1999,Management,0927 616 9286,,0927,,,
name229,lastname229,June,11,1999,Legal Management,0927 975 8823,,0927,,,
name230,lastname230,December,4,1997,Communications Technology,0917 559 2469,,0917,,,
name231,lastname231,May,22,1998,Information Technology Entrepreneurship,0927 597 2823,,0927,,,
name232,lastname232,April,17,2000,Management,0917 418 9979,,0917,,,
name233,lastname233,June,13,2001,Management Engineering,0927 523 4422,,0927,,,
name234,lastname234,February,6,1997,Communications Technology,0917 911 6706,,0917,,,
name235,lastname235,July,7,1999,Management,0918 656 9527,,0918,,,
name236,lastname236,October,23,1998,Management,0917 251 3024,,0917,,,
name237,lastname237,December,14,1998,Legal Management,0927 940 8616,,0927,,,
name238,lastname238,March,4,2000,Communications Technology,0917 261 3868,,0917,,,
name239,lastname239,February,5,1997,Legal Management,0927 976 2990,,0927,,,
name240,lastname240,April,21,2001,Legal Management,0917 962 2388,,0917,,,
name241,lastname241,September,7,2000,Communications Technology,0917 560 3594,,0917,,,
name242,lastname242,June,1,1998,Information Technology Entrepreneurship,0917 267 6749,,0917,,,
name243,lastname243,November,19,1998,Communications Technology,0918 388 9243,,0918,,,
name244,lastname244,January,1,2000,Communications Technology,0918 418 8388,,0918,,,
name245,lastname245,March,5,1999,Management Engineering,0918 387 4071,,0918,,,
name246,lastname246,January,26,1998,Communications Technology,0918 871 2841,,0918,,,
name247,lastname247,August,3,1998,Management,0917 242 3611,,0917,,,
name248,lastname248,March,22,1998,Legal Management,0917 213 2389,,0917,,,
name249,lastname249,December,9,2000,Management Engineering,0917 548 3044,,0917,,,
name250,lastname250,May,24,2001,Management Engineering,0927 264 6574,,0927,,,
name251,lastname251,January,9,2000,Communications Technology,0917 582 8763,,0917,,,
name252,lastname252,December,6,2001,Management,0927 800 6849,,0927,,,
name253,lastname253,April,18,1997,Management Engineering,0918 414 2565,,0918,,,
name254,lastname254,August,3,1997,Communications Technology,0917 984 6143,,0917,,,
name255,lastname255,January,6,2001,Management Engineering,0927 234 8693,,0927,,,
name256,lastname256,December,7,1997,Management,0918 944 9432,,0918,,,
name257,lastname257,April,19,1997,Information Technology Entrepreneurship,0917 996 8937,,0917,,,
name258,lastname258,June,7,2001,Information Technology Entrepreneurship,0917 169 7326,,0917,,,
name259,lastname259,March,20,1999,Information Technology Entrepreneurship,0927 916 1852,,0927,,,
name260,lastname260,November,15,2000,Communications Technology,0917 843 5692,,0917,,,
name261,lastname261,June,4,1997,Legal Management,0918 456 7658,,0918,,,
name262,lastname262,July,26,1998,Communications Technology,0917 771 4152,,0917,,,
name263,lastname263,January,1,2000,Management,0917 773 4858,,0917,,,
name264,lastname264,November,1,2001,Information Technology Entrepreneurship,0918 108 6505,,0918,,,
name265,lastname265,November,26,2001,Management,0918 332 9306,,0918,,,
name266,lastname266,December,5,1997,Management,0917 551 8922,,0917,,,
name267,lastname267,July,5,1999,Legal Management,0917 537 9153,,0917,,,
name268,lastname268,October,21,1999,Management Engineering,0927 373 9092,,0927,,,
name269,lastname269,October,18,2001,Legal Management,0918 441 7553,,0918,,,
name270,lastname270,April,24,1998,Information Technology Entrepreneurship,0927 395 8754,,0927,,,
name271,lastname271,March,25,1997,Management Engineering,0918 351 3825,,0918,,,
name272,lastname272,July,27,1997,Information Technology Entrepreneurship,0917 275 1598,,0917,,,
name273,lastname273,August,7,1999,Communications Technology,0927 511 6858,,0927,,,
name274,lastname274,January,5,1997,Management,0917 580 5437,,0917,,,
name275,lastname275,April,20,1998,Communications Technology,0917 418 9759,,0917,,,
name276,lastname276,January,12,2001,Information Technology Entrepreneurship,0917 559 3566,,0917,,,
name277,lastname277,December,24,1999,Legal Management,0927 416 3898,,0927,,,
name278,lastname278,February,8,1997,Management,0917 735 6446,,0917,,,
name279,lastname279,October,12,1998,Legal Management,0927 359 4345,,0927,,,
name280,lastname280,November,15,2000,Management,0918 183 9884,,0918,,,
name281,lastname281,February,12,1997,Management,0918 541 2404,,0918,,,
name282,lastname282,March,23,1998,Management,0918 393 1948,,0918,,,
name283,lastname283,November,3,1997,Information Technology Entrepreneurship,0918 927 3119,,0918,,,
name284,lastname284,August,13,1999,Communications Technology,0927 868 4707,,0927,,,
name285,lastname285,September,17,1998,Communications Technology,0927 419 8095,,0927,,,
name286,lastname286,December,28,1999,Information Technology Entrepreneurship,0927 907 8179,,0927,,,
name287,lastname287,February,18,1998,Communications Technology,0917 992 5274,,0917,,,
name288,lastname288,April,4,2001,Information Technology Entrepreneurship,0917 527 6893,,0917,,,
name289,lastname289,October,15,1997,Management Engineering,0917 756 9357,,0917,,,
name290,lastname290,July,8,1997,Management Engineering,0918 927 4291,,0918,,,
name291,lastname291,December,27,2000,Management,0918 974 1369,,0918,,,
name292,lastname292,January,25,1999,Communications Technology,0917 878 8313,,0917,,,
name293,lastname293,March,1,1999,Management Engineering,0927 608 4808,,0927,,,
name294,lastname294,January,14,1998,Legal Management,0918 983 8521,,0918,,,
name295,lastname295,November,19,1999,Information Technology Entrepreneurship,0918 345 5057,,0918,,,
name296,lastname296,April,26,1999,Management,0927 416 2499,,0927,,,
name297,lastname297,November,10,2000,Legal Management,0917 620 1837,,0917,,,
name298,lastname298,January,8,1999,Management,0927 291 3676,,0927,,,
name299,lastname299,February,18,1998,Management,0927 348 6668,,0927,,,
name300,lastname300,May,22,1997,Communications Technology,0918 815 5153,,0918,,,
name301,lastname301,April,27,1999,Legal Management,0927 285 5378,,0927,,,
name302,lastname302,May,1,2001,Legal Management,0918 511 3241,,0918,,,
name303,lastname303,December,18,1997,Legal Management,0917 739 1115,,0917,,,
name304,lastname304,September,18,2000,Communications Technology,0918 533 7507,,0918,,,
name305,lastname305,January,15,1997,Management,0917 641 8911,,0917,,,
name306,lastname306,March,3,1998,Legal Management,0917 155 3009,,0917,,,
name307,lastname307,February,12,2000,Information Technology Entrepreneurship,0918 386 6738,,0918,,,
name308,lastname308,December,13,1998,Communications Technology,0927 827 6122,,0927,,,
name309,lastname309,November,8,1998,Management,0917 132 5014,,0917,,,
name310,lastname310,August,21,1998,Information Technology Entrepreneurship,0918 225 1879,,0918,,,
name311,lastname311,June,23,1998,Management Engineering,0918 704 4147,,0918,,,
name312,lastname312,May,16,1999,Management Engineering,0918 284 8832,,0918,,,
name313,lastname313,August,8,1997,Information Technology Entrepreneurship,0917 379 9404,,0917,,,
name314,lastname314,July,19,1998,Management,0918 131 5008,,0918,,,
name315,lastname315,December,19,1998,Legal Management,0917 656 2606,,0917,,,
name316,lastname316,April,14,2001,Communications Technology,0927 212 2224,,0927,,,
name317,lastname317,September,16,1997,Management Engineering,0918 458 4727,,0918,,,
name318,lastname318,March,5,1999,Communications Technology,0917 462 5719,,0917,,,
name319,lastname319,August,10,2000,Management Engineering,0927 239 1604,,0927,,,
name320,lastname320,July,21,1997,Management,0917 854 8646,,0917,,,
name321,lastname321,August,26,1997,Communications Technology,0927 414 7766,,0927,,,
name322,lastname322,June,14,1999,Legal Management,0918 600 7855,,0918,,,
name323,lastname323,June,8,1998,Management,0917 308 8490,,0917,,,
name324,lastname324,July,21,1998,Management Engineering,0918 788 7131,,0918,,,
name325,lastname325,March,24,1998,Management Engineering,0917 557 5935,,0917,,,
name326,lastname326,February,24,2000,Communications Technology,0918 561 3677,,0918,,,
name327,lastname327,July,16,1997,Information Technology Entrepreneurship,0917 604 7756,,0917,,,
name328,lastname328,June,1,1999,Information Technology Entrepreneurship,0917 992 5461,,0917,,,
name329,lastname329,December,5,1997,Information Technology Entrepreneurship,0918 451 8833,,0918,,,
name330,lastname330,July,3,1998,Information Technology Entrepreneurship,0918 158 9284,,0918,,,
name331,lastname331,January,26,1998,Management,0927 146 5990,,0927,,,
name332,lastname332,April,18,1999,Legal Management,0918 299 4084,,0918,,,
name333,lastname333,June,17,2000,Communications Technology,0927 779 3123,,0927,,,
name334,lastname334,January,2,1998,Legal Management,0927 182 1332,,0927,,,
name335,lastname335,May,21,1999,Communications Technology,0918 169 5036,,0918,,,
name336,lastname336,April,11,1999,Information Technology Entrepreneurship,0918 152 3167,,0918,,,
name337,lastname337,December,8,1998,Management,0927 503 8110,,0927,,,
name338,lastname338,September,20,2001,Communications Technology,0927 746 2862,,0927,,,
name339,lastname339,April,22,2000,Information Technology Entrepreneurship,0918 233 2323,,0918,,,
name340,lastname340,June,4,1999,Legal Management,0917 685 3086,,0917,,,
name341,lastname341,August,22,1999,Management,0917 949 6688,,0917,,,
name342,lastname342,July,2,1999,Management,0917 306 7389,,0917,,,
name343,lastname343,December,18,1998,Legal Management,0917 431 1238,,0917,,,
name344,lastname344,July,13,2000,Information Technology Entrepreneurship,0918 185 7288,,0918,,,
name345,lastname345,April,19,1999,Information Technology Entrepreneurship,0918 269 8208,,0918,,,
name346,lastname346,July,19,2000,Information Technology Entrepreneurship,0917 816 8886,,0917,,,
name347,lastname347,March,21,1998,Information Technology Entrepreneurship,0918 386 4602,,0918,,,
name348,lastname348,January,13,1997,Information Technology Entrepreneurship,0917 728 4754,,0917,,,
name349,lastname349,February,18,1999,Management Engineering,0918 636 8281,,0918,,,
name350,lastname350,September,17,1997,Management Engineering,0917 301 6396,,0917,,,
name351,lastname351,December,21,1997,Legal Management,0917 683 8576,,0917,,,
name352,lastname352,February,28,1997,Management,0917 897 3550,,0917,,,
name353,lastname353,June,11,2001,Communications Technology,0927 205 9262,,0927,,,
name354,lastname354,February,16,1997,Information Technology Entrepreneurship,0918 120 1113,,0918,,,
name355,lastname355,April,1,1999,Communications Technology,0927 831 9943,,0927,,,
name356,lastname356,July,26,2001,Management,0918 111 2365,,0918,,,
name357,lastname357,August,5,1997,Communications Technology,0927 733 6775,,0927,,,
name358,lastname358,August,17,1999,Information Technology Entrepreneurship,0917 354 8160,,0917,,,
name359,lastname359,December,18,2000,Management,0927 612 3910,,0927,,,
name360,lastname360,May,11,1999,Management,0927 228 4106,,0927,,,
name361,lastname361,February,9,2001,Legal Management,0918 211 1764,,0918,,,
name362,lastname362,September,27,2001,Management Engineering,0917 340 3848,,0917,,,
name363,lastname363,October,21,1997,Management,0927 317 3533,,0927,,,
name364,lastname364,January,8,1997,Management,0927 592 8138,,0927,,,
name365,lastname365,July,6,1999,Management Engineering,0917 102 3528,,0917,,,
name366,lastname366,November,13,1997,Information Technology Entrepreneurship,0918 384 3861,,0918,,,
name367,lastname367,May,15,1998,Information Technology Entrepreneurship,0917 277 1823,,0917,,,
name368,lastname368,June,22,2000,Information Technology Entrepreneurship,0927 594 7966,,0927,,,
name369,lastname369,March,1,2000,Management Engineering,0927 195 7539,,0927,,,
name370,lastname370,September,3,2001,Information Technology Entrepreneurship,0927 126 8314,,0927,,,
